"DeShone Kizer, Cle",@Hou,28th,5,159,81,851,9,3,126,2,3,2,11.9,4600,2.59,Sun 1:00,,,,,,,,,,,,,,
"Cardale Jones, LAC",@Oak,17th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 4:25,,,,,,,,,,,,,,
"Landry Jones, Pit",@KC,26th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 4:25,,,,,,,,,,,,,,
"Matt Moore, Mia",@Atl,12th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 1:00,,,,,,,,,,,,,,
"Geno Smith, NYG",@Den,16th,--,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 8:30,,,,,,,,,,,,,,
"Ryan Fitzpatrick, TB",@Ari,25th,1,1,0,0,0,0,-2,0,0,0,-0.2,4400,-0.05,Sun 4:05,,,,,,,,,,,,,,
"Nick Foles, Phi",@Car,8th,--,--,--,--,--,--,--,--,--,--,0,4400,0,Thu 8:25,,,,,,,,,,,,,,
"Mike Glennon, Chi",@Bal,5th,4,140,93,833,5,4,4,0,5,3,11.2,4400,2.54,Sun 1:00,,,,,,,,,,,,,,
"Blaine Gabbert, Ari",TB,30th,--,--,--,--,--,--,--,--,--,--,0,4300,0,Sun 4:05,,,,,,,,,,,,,,
"Chad Henne, Jax",LA,15th,1,2,0,0,0,0,-3,0,0,0,-0.3,4300,-0.07,Sun 4:05,,,,,,,,,,,,,,
"Tom Savage, Hou",Cle,27th,2,13,7,62,0,0,0,0,2,2,0.2,4300,0.06,Sun 1:00,,,,,,,,,,,,,,
"Matt Schaub, Atl",Mia,9th,--,--,--,--,--,--,--,--,--,--,0,4300,0,Sun 1:00,,,,,,,,,,,,,,
"Scott Tolzien, Ind",@Ten,29th,1,18,9,128,2,0,2,0,1,0,3.3,4300,0.77,Mon 8:30,,,,,,,,,,,,,,
"C.J. Beathard, SF",@Was,18th,1,0,0,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Brett Hundley, GB",@Min,7th,1,1,1,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Sean Mannion, LA",@Jax,1st,1,1,1,12,0,0,-7,0,0,0,-0.2,4200,-0.05,Sun 4:05,,,,,,,,,,,,,,
"Jake Rudock, Det",@NO,24th,1,0,0,0,0,0,0,0,0,0,0,4200,0,Sun 1:00,,,,,,,,,,,,,,
"Brock Osweiler, Den",NYG,21st,--,--,--,--,--,--,--,--,--,--,0,4100,0,Sun 8:30,,,,,,,,,,,,,,
