"Jeremy Maclin, Bal",@Oak,9th,4,10,116,20,2,0,0,0,0,8.4,4200,2,Sun 4:05
"Cole Beasley, Dal",GB,14th,4,11,86,20,0,0,0,0,0,4.9,4100,1.2,Sun 4:25
"Marvin Jones, Det",Car,15th,4,8,130,18,2,0,0,0,0,8.2,4100,2.01,Sun 1:00
"Robby Anderson, NYJ",@Cle,12th,4,12,204,24,1,0,0,0,0,9.6,4000,2.4,Sun 1:00
"Travis Benjamin, LAC",@NYG,4th,4,11,180,20,1,9,0,1,0,9.7,4000,2.43,Sun 1:00
"Corey Davis, Ten",@Mia,20th,2,7,73,13,0,0,0,0,0,7.2,4000,1.79,Sun 1:00
"Eric Decker, Ten",@Mia,20th,4,12,104,20,0,0,0,0,0,5.6,4000,1.4,Sun 1:00
"Phillip Dorsett, NE",@TB,32nd,4,4,85,5,0,7,0,0,0,3.3,4000,0.82,Thu 8:25
"Kenny Golladay, Det",Car,15th,3,7,102,15,2,0,0,0,0,9.7,4000,2.43,Sun 1:00
"Jordan Matthews, Buf",@Cin,6th,4,10,162,13,1,0,0,0,0,8.1,4000,2.01,Sun 1:00
"Mike Wallace, Bal",@Oak,9th,4,9,76,19,1,4,0,0,0,5.8,4000,1.44,Sun 4:05
"Kendall Wright, Chi",Min,26th,4,14,154,18,1,0,0,0,0,8.8,4000,2.21,Mon 8:30
"Nelson Agholor, Phi",Ari,25th,4,12,173,18,2,0,0,0,0,10.3,3900,2.65,Sun 1:00
"Jeremy Kerley, NYJ",@Cle,12th,3,13,93,13,0,0,0,0,0,7.4,3900,1.91,Sun 1:00
"Donte Moncrief, Ind",SF,27th,4,8,142,18,1,0,0,0,0,7,3900,1.81,Sun 1:00
"Marquise Goodwin, SF",@Ind,29th,4,9,127,19,0,0,0,0,0,5.4,3800,1.43,Sun 1:00
"Ricardo Louis, Cle",NYJ,16th,4,10,133,20,0,0,0,0,0,5.8,3700,1.57,Sun 1:00
"Russell Shepard, Car",@Det,18th,4,4,72,6,1,0,0,0,0,4.3,3700,1.16,Sun 1:00
"Kenny Stills, Mia",Ten,31st,3,9,101,18,1,0,0,1,0,8.4,3700,2.26,Sun 1:00
"Mike Williams, LAC",@NYG,4th,--,--,--,--,--,--,--,--,--,0,3700,0,Sun 1:00
"Robert Woods, LA",Sea,7th,4,12,186,22,0,0,0,0,0,8.4,3700,2.27,Sun 4:05
"Bruce Ellington, Hou",KC,22nd,3,7,103,13,1,12,0,0,0,8.2,3600,2.27,Sun 8:30
"Zay Jones, Buf",@Cin,6th,4,4,57,17,0,0,0,0,0,2.4,3600,0.67,Sun 1:00
"Malcolm Mitchell, NE",@TB,32nd,--,--,--,--,--,--,--,--,--,0,3600,0,Thu 8:25
"Seth Roberts, Oak",Bal,5th,4,9,88,12,1,0,0,1,1,5.7,3600,1.58,Sun 4:05
"Curtis Samuel, Car",@Det,18th,3,4,12,8,0,31,0,0,0,2.8,3600,0.77,Sun 1:00
"Torrey Smith, Phi",Ari,25th,4,10,134,19,0,0,0,0,0,5.8,3600,1.62,Sun 1:00
"Terrance Williams, Dal",GB,14th,4,17,166,22,0,0,0,0,0,8.4,3600,2.33,Sun 4:25
"Brice Butler, Dal",GB,14th,4,6,150,9,2,0,0,0,0,8.2,3500,2.36,Sun 4:25
"Michael Floyd, Min",@Chi,23rd,--,--,--,--,--,--,--,--,--,0,3500,0,Mon 8:30
