"Antony Auclair, TB",@Ari,14th,1,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:05,,,,,,,,,,,,,
"Blake Bell, Min",GB,2nd,5,1,12,2,0,0,0,0,0,0.4,2500,0.18,Sun 1:00,,,,,,,,,,,,,
"Nick Boyle, Bal",Chi,22nd,5,10,82,11,0,0,0,0,0,3.6,2500,1.46,Sun 1:00,,,,,,,,,,,,,
"Beau Brinkley, Ten",Ind,24th,5,0,0,0,0,0,0,0,0,0,2500,0,Mon 8:30,,,,,,,,,,,,,
"Daniel Brown, Chi",@Bal,17th,3,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Trey Burton, Phi",@Car,8th,5,5,33,6,1,0,0,0,0,2.9,2500,1.14,Thu 8:25,,,,,,,,,,,,,
"Jake Butt, Den",NYG,32nd,--,--,--,--,--,--,--,--,--,0,2500,0,Sun 8:30,,,,,,,,,,,,,
"Derek Carrier, LA",@Jax,23rd,5,3,38,4,0,0,0,0,0,1.4,2500,0.54,Sun 4:05,,,,,,,,,,,,,
"Brent Celek, Phi",@Car,8th,5,2,16,4,0,0,0,0,0,0.7,2500,0.29,Thu 8:25,,,,,,,,,,,,,
"Garrett Celek, SF",@Was,30th,5,3,13,4,1,0,0,0,0,2.1,2500,0.82,Sun 1:00,,,,,,,,,,,,,
"Sean Culkin, LAC",@Oak,11th,1,0,0,0,0,0,0,0,0,0,2500,0,Sun 4:25,,,,,,,,,,,,,
"Darrell Daniels, Ind",@Ten,9th,5,2,19,7,0,0,0,0,0,0.8,2500,0.31,Mon 8:30,,,,,,,,,,,,,
"Andrew DePaola, Chi",@Bal,17th,5,0,0,0,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Seth Devalve, Cle",@Hou,26th,5,12,158,22,0,0,0,0,0,5.6,2500,2.22,Sun 1:00,,,,,,,,,,,,,
"Rhett Ellison, NYG",@Den,27th,5,6,50,7,1,0,0,0,0,3.4,2500,1.36,Sun 8:30,,,,,,,,,,,,,
"Gerald Everett, LA",@Jax,23rd,5,6,150,10,0,0,0,0,0,4.2,2500,1.68,Sun 4:05,,,,,,,,,,,,,
"Anthony Fasano, Mia",@Atl,21st,4,0,0,1,0,0,0,0,0,0,2500,0,Sun 1:00,,,,,,,,,,,,,
"Darren Fells, Det",@NO,16th,5,8,75,9,2,0,0,0,0,5.5,2500,2.2,Sun 1:00,,,,,,,,,,,,,
